ID,Name,Log,Sprite_ID
1,하로,으윽... 아파...,1
,,돌풍이 거기서 불다니...,
,,..어? 여기가 어디지...?,
2,베일트,바람 하나 무서우면 어떻게 날 생각이지?,1
,,독수리 일족은 이것보다 더 높은 고도에서 비행 훈련을 한다,
3,하로,(첫째 형' 베일트. 완벽주의자이자 사소한 실수도 용납하지 않는 차가운 성격의 소유자),1
4,가르트,그깟 돌풍 하나 못 이기다니... 한심하네,1
,,그것도 똑같은 실수를 항상 하니 말이야,1
5,하로,(둘째 형' 가르트. 실패에 대한 핑계는 절대 용납하지 않는 냉정한 성격의 소유자),
6,토로,아... 배고파...,1
,,어이.. 형님들. 오늘 점심' 도토리 묵 어때..?,
7,하로,(막내 형' 토로. 밝고 에너지 넘치며 유일하게 나를 응원해주는 분위기 메이커),1
8,가르트,(째릿),1
9,토로,그래' 하로야. 거기서 실수 하면 어떻해!,1
10,베일트,토로야' 넌 한 바퀴 더 돌고 와...,1
11,토로,네....,1
,,하로야' 너도 그렇고 나도 그렇고 신세는 똑같구나...,
,,따라와' 훈련 도와줄테니까. 같이 하자!,
12,하로,(터벅터벅...),1
