ID,Log
Tip_1,자세를 낮추세요 : 상승은 스태미나를 빨리 소모합니다.
Tip_2,낭비는 금물 : 스태미나가 0이 되면 즉시 패배합니다.
Tip_3,벽꿍 : 스태미나를 아끼기 위해 때로는 벽에 일부러 부딪히기도 합니다. 물론 보호막과 함께죠.
Tip_4,스릴을 즐기세요 : 가끔은 가장 위험해 보이는 길이 가장 안전한 도주 경로입니다.
Tip_5,천장에 부딪히세요 : 아무 일도 일어나지 않습니다.
Tip_6,바닥에 부딪히지 마세요 : 기쁜 일은 일어나지 않습니다.
Tip_7,무승부로 하지 않을래? : 퍼즐 발동 확률에 모든 걸 걸어보세요.
Tip_8,바람의 상처 : 바람은 스태미나를 아끼는 길이 될 수 있습니다. 그 바로 위가 벽일지라도요.
Tip_9,과잉 보호 : 보호막을 두 번 먹어도 아무런 이득이 없습니다. 과감하게 부딪하세요.
Joke_1,밤송이는 따뜻할 때 더 아프답니다.
Joke_2,스페이스바는 당신의 날개입니다. 아니' 사실은 키보드죠.
Joke_3,떨어질 땐 소리 지르는 게 국룰.
Joke_4,바람은 친구일 수도' 벽일 수도 있습니다. 철학이죠.
Joke_5,가끔은 버튼을 누르지 않는 것이 최고의 입력.
Joke_6,아... 추락했네.. 괜찮아' 리셋하면 새로운 평행세계가 만들어지니까.
Joke_7,저장했다는 건 곧… 다시 부끄러운 순간을 리플레이할 수 있다는 뜻이야
